Number	Poem	Page	ID	Position	Character	Pinyin	MC	OC	FQ	GY	Tone	Division	?	Final	Rhyme	Metrum I	Metrum II	Metrum III	Text	German	
1	LÌ GUǏ 利簋	145	1c	4	商	shāng	*syang	*h(l)aŋ	式羊	書陽	p	III	k	陽	A	I	xxxx	A	珷（武王）政征商A。	König Wǔ führte eine Strafexpedition gegen Shāng.	
1	LÌ GUǏ 利簋	145	2a	10	鼎	dǐng	*tengX	*tēŋʔ	都挺	端迥	s	IV	k	耕	a	II	xxxxxx	a	隹（唯）甲子朝歲鼎a，	Es war am Morgen des (Zyklustag) jiǎzǐ, als er die suì-und dǐng,	
1	LÌ GUǏ 利簋	145	2e	15	商	shāng	*syang	*h(l)aŋ	式羊	書陽	p	III	k	陽	A	III	xxxxx	A	克聞夙又（有）商A。	Opfer durchführte, es zu Gehör bringen konnte, daß er Shāng im Sturm eingenommen hatte. 	
1	LÌ GUǏ 利簋	145	2h	17	未	wèi	*mjɨjH	*mujs	無沸	明未	q	III	h	微	B	IV	xx	B	辛未B，	Am (Zyklustag) xīnwèi 	
1	LÌ GUǏ 利簋	145	3d	21	𠂤 	duī 	*twoj	*tūj	都回	端灰	p	I	h	微	B	V	xxxx	B	王才（在）{宀>柬>閒}𠂤 B，	weilte der König in der Garnison von Lan 	
1	LÌ GUǏ 利簋	145	4a	26	金	jīn	*kim	*k(r)əm	居吟	見侵	p	III	k	侵	X	VI	xxxxx	X	易（賜）又（有）事利金X，	und beschenkte den Geschäftsträger Lì mit Bronze,	
1	LÌ GUǏ 利簋	145	4h	33	彝	yí	*yij	*ləj	以脂	以脂	p	III	k	脂	b	VII 	xxxxxxx	b	用乍（作）{方+{𠂉>亠>回>虫}}（檀）公寶{阝+尊}（尊）b。	"der sie verwendet, um für Herzog Tán ein wertvolles,ehrwürdiges Gefäß fertigen zu lassen."""	
2	TIĀNWÁNG GUǏ 天亡簋	146-7		(1-2)																	
2	TIĀNWÁNG GUǏ 天亡簋	146-7	1f	6	豊 	lǐ	*lejX	*C-rījʔ	盧啟 	來薺 	s	IV	k	脂	X	I	xxxx	X			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	1f	6	禮	lǐ	*lejX	*C-rījʔ	盧啟 	來薺 	s	IV	k	脂	X						
2	TIĀNWÁNG GUǏ 天亡簋	146-7	1j	10	方 	fāng	*pjang	*paŋ	府良	非陽 	p	III	h	陽	A	II	xxxx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	2e	16	降	jiàng	*kaewngH	*krūŋs	古巷 	見絳	q	II	k	冬	a	III	xxxxxx	a			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	2i	20	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	IV	xxxx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	3d	24	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	V	xxxx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	3i	29	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	VI	xxxxxx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	4d	33	帝	dì	*tejH	*tēks	都計 	端霽	q	IV	k	佳	X	VII	xxxx	X			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	4i	38	上 	shàng	*dzyangH	*daŋs	時亮	禪漾	q	III	k	陽	A	VIII	xxxxx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	5d	43	眚	shěng	*sraengX	*sreŋʔ	所景	生梗	s	II	k	耕	α	IX	xxxxx	α			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	5d	43	省	xǐng	*sjengX	*seŋʔ	息井	心靜	s	III	k	耕	α						
2	TIĀNWÁNG GUǏ 天亡簋	146-7	5i	48	庚>凡										?	X	xxxxx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	5i	48	庚	gēng	*kaeng	*krāŋ	古行	見庚	p	II	k	陽	A						
2	TIĀNWÁNG GUǏ 天亡簋	146-7	6d	54	祀	sì	*ziX	*zə(k)ʔ	詳里	邪止	s	III	k	之	X	XI	xxxxxx	X [...]			
2	TIĀNWÁNG GUǏ 天亡簋	146-7		(55-56)																	
2	TIĀNWÁNG GUǏ 天亡簋	146-7	6h	58	鄉	xiāng	*xjang	*xaŋ	許良	曉陽	p	III	k	陽	A	XII	xx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	6h	58	饗	xiǎng	*xjangX	*xaŋʔ	許兩	曉養	s	III	k	陽	A						
2	TIĀNWÁNG GUǏ 天亡簋	146-7	6j	60	𡇅0>夕										?	XIII	xx	A			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	6j	60	房	fáng	*bjang	*baŋ	符方	並陽	p	III	h	陽	A						
2	TIĀNWÁNG GUǏ 天亡簋	146-7	6l	62	降	jiàng	*kaewngH	*krūŋs	古巷 	見絳	q	II	k	冬	a	XIV	xx	a			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	7e	67	十>中>冖>缶>朩	pāo	*phaw	*phū	普袍	滂豪	p	I	k	幽	B	XV	xxxxx	B			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	8b	71	艹>罒>代										?	XVI	xxxx	X			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	8b	71	蔑	miè	*met	*mēt	莫結	明屑	r	IV	k	薛	X						
2	TIĀNWÁNG GUǏ 天亡簋	146-7	8i	78	白	bái	*baek	*brāk	傍陌	並陌	r	II	k	鐸	X	XVII 	xxxxxxx	B			
2	TIĀNWÁNG GUǏ 天亡簋	146-7	8i	78	𣪘 / 簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	B						
3	HÉ ZŪN 何尊	148-9		(1-30)																	
3	HÉ ZŪN 何尊	148-9	4h	40	王 	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	I	xxxxxxxxxx   	A	[…]曰：《昔才（在）爾考公氏克{辶+{十>艹>大>十}}（弼）玟（文）王A，	"""[Der König] sprach: Einst, zu Zeiten eures Vaters selig, vermochte er es, als herzöglicher Klansherr König Wén beizustehen."	
3	HÉ ZŪN 何尊	148-9	5e	47	[令]	lìng	*ljengH	*C-riŋ(s)	力政	來勁	q	III	k	真	B	II	xxxxxxx	B	玟（文王）受玆〈大令（命B）〉。	Daraufhin erhielt König Wǔ das [große Mandat].	
3	HÉ ZŪN 何尊	148-9	6a	55	商	shāng	*syang	*h(l)aŋ	式羊	書陽	p	III	k	陽	A	III	xxxxxxx	A	隹（唯）珷（武）王既克大邑商A，	Es war, als König Wǔ bereits die große Metropole Shāng erobert hatte,	
3	HÉ ZŪN 何尊	148-9	6f	60	天	tiān	*then	*hlīn 	他前	透先	p	IV	k	真	B	IV	xxxxx	B	則廷告于天B，曰：	den Regein entsprechend, bei Hofe, folgendes dem Himmel mitteilte:	
3	HÉ ZŪN 何尊	148-9	7d	67	或	huò	*hwok	*wə̄k	胡國	匣德	r	I	h	職	C	V	xxxxxxx	C	《余其宅兹中或（國C），	Ich will in diesen Mittellanden residieren,	
3	HÉ ZŪN 何尊	148-9	7d	67	國	guó	*kwok	*kʷə̄k	古國	見德	r	I	h	職	C						
3	HÉ ZŪN 何尊	148-9	7h	71	民	mín	*mjin	*min	彌鄰	明真	p	III	k	真	B	VI	xxxx	B	自之辥（乂）民B！》	von hier aus das Volk in Zucht nehmen!'	
3	HÉ ZŪN 何尊	148-9	8g	80	戠	zhí	*tsyik	*tək	之翼	章職	r	III	k	職	C	VII	xxxxxxxxx	C	烏虖（呼）！爾有（或）唯{小>子}（小子），亡（無）戠（識C），	Ach je! Mag sein, ihr seid nur kleine Prinzen, und habt kein Wissen,	
3	HÉ ZŪN 何尊	148-9	8g	80	識	shì	*syik	*stək	賞職	書職	r	III	k	職	C						
3	HÉ ZŪN 何尊	148-9	9f	88	天	tiān	*then	*hlīn 	他前	透先	p	IV	k	真	B	VIII	xxxxxxxx	B	𧠟（視）{于+戶}（于）公氏又（有）{日>小>再}（爵）{于+戶}（于）天B，	[doch] seht auf den herzöglichen Klansherr, der einen Rang im Himmel hat,	
3	HÉ ZŪN 何尊	148-9	10b	93	𢦏	zāi	*tsoj	*tsə̄	祖才	精海	p	I	k	之	c	IX	xxxxx	c	{鬲+丑}（徹）令（命），苟（敬）亯（享）𢦏（哉c）！》	vollendet das Mandat und opfert ehrerbietig!	
3	HÉ ZŪN 何尊	148-9	10b	93	哉	zāi	*tsoj	*tsə̄	祖才	精海	p	I	k	之	c						
3	HÉ ZŪN 何尊	148-9	10h	99	天 	tiān	*then	*hlīn 	他前	透先	p	IV	k	真	B	X	xxxxx	B	《惠（唯）王龏（恭）德谷（裕）天B，	[Hé entgegnate]: Ihr, mein König, der Ihr mit ehrfurchtsvoller Tugendkraft den Himmel bereichert,	
3	HÉ ZŪN 何尊	148-9	11b	103	每	měi	*mojX	*mə̄ʔ	武罪	明賄	s	I	h	之	c	XI	xxxx	c	順我不每（敏c）！》[…]	"möget mich, der ich unsensibel bin, unterweisen! (…)"""	
3	HÉ ZŪN 何尊	148-9	11b	103	敏	mǐn	*minX	*mrə(n)ʔ	眉殞	明軫	s	III	k	之	c						
3	HÉ ZŪN 何尊	148-9		(104-127)																	
4	XÍN DǏNG 辛鼎	151		(1-7)															辛乍（作）寶， 其亡（無）彊（疆）！ 氒（厥）家雝{ㄔ+{十>皿}}（德），	Xīn ließ eine wertvolle [Sakralbronze] fertigen, möge sie grenzenlos [erhalten bleiben]! Seine Familie möge die Tugendkraft in Harmonie bringen, 	
4	XÍN DǏNG 辛鼎	151	3a	13	豊 	lǐ	*lejX	*C-rījʔ	盧啟 	來薺 	s	IV	k	脂	A	I	xxxxxx	A	虔用豊（禮A）氒（厥）	sie (die Sakralbronze) emsig verwenden um seinen Verwandten der eigenen Generation	
4	XÍN DǏNG 辛鼎	151	3a	13	禮	lǐ	*lejX	*C-rījʔ	盧啟 	來薺 	s	IV	k	脂	A						
4	XÍN DǏNG 辛鼎	151	3c	15	㓷	yì	*ngijH	*ŋrəjs	魚器	疑至 	q	III	k	微	a	II	xx	a	氒（厥）㓷（劓a）、	 und (den vielen Freunden →) jenen fernerer Verwandtschaftslinien (den Riten gemäß zu behandeln →) zu opfern.	
4	XÍN DǏNG 辛鼎	151	3c	15	劓	yì	*ngijH	*ŋrəjs	魚器	疑至 	q	III	k	微	a						
4	XÍN DǏNG 辛鼎	151	4a	21	辛	xīn	*sin	*sin	息鄰	心真	p	III	k	真	B	III	xxxxxx	B	多=友=！{{未+攵}>厂>貝}（釐）辛B，	Die Fernverwandten beglückwünschen Xīn:	
4	XÍN DǏNG 辛鼎	151	4e	25	人	rén	*nin	*nin	如鄰	日真	p	III	k	真	B	IV	xxxx	B	萬年隹（唯）人B！	"Myriaden von [Lebens-]Jahren un (Menschen →) Nachkommenschaft seien ihm beschert!"""	
**4	XÍN DǏNG 辛鼎	151-2	1f	6	疆	jiāng	*kjang	*kaŋ	居良	見陽	p	III	k	陽	C						
**4	XÍN DǏNG 辛鼎	151-2	2d	10	相	xiàng	*sjangH	*saŋs	息亮	心漾	q	III	k	陽	C						
5	DÀ YÚ DǏNG 大盂鼎	152-155		(1-13)															隹（唯）九月，王才（在）宗周，令盂。王若曰：	"""Es war im neunten Monat, der König weilte in Stamm-Zhōu und übergab Yú ein Mandat. Zustimmend sprach der König folgendes:"	
