ID	POEM_NUMBER	POEM_NAME	STANZA	LINE_IN_SOURCE	LINE	RHYME	RHYMEWORD	RECONSTRUCTION	COMMENT
1	1	關睢	1	0	關關雎a[kju]鳩	關關雎鳩	雎	a	kju	
2	1	關睢	1	1	在河之a[tju]洲。	在河之洲	之	a	tju	
3	1	關睢	1	0	窈宨淑女	窈宨淑女				
4	1	關睢	1	1	君子好a[qiu]逑。（幽部）	君子好逑	好	a	qiu	幽部
5	1	關睢	2	0	參差荇菜	參差荇菜				
6	1	關睢	2	1	左右a[liu]流之。	左右流之	右	a	liu	
7	1	關睢	2	0	窈宨淑女	窈宨淑女				
8	1	關睢	2	1	寤寐a[giu]求之。（幽部）	寤寐求之	寐	a	giu	幽部
9	1	關睢	3	0	求之不a[tək]得	求之不得	不	a	tək	
10	1	關睢	3	1	寤寐思a[biuək]服。	寤寐思服	思	a	biuək	
11	1	關睢	3	0	悠哉悠哉	悠哉悠哉				
12	1	關睢	3	1	輾轉反a[tzhiək]側。（职部）	輾轉反側	反	a	tzhiək	职部
13	1	關睢	4	0	參差荇菜	參差荇菜				
14	1	關睢	4	1	左右a[tsə]采之。	左右采之	右	a	tsə	
15	1	關睢	4	0	窈宨淑女	窈宨淑女				
16	1	關睢	4	1	琴瑟a[hiuə]友之。（之部）	琴瑟友之	瑟	a	hiuə	之部
17	1	關睢	5	0	參差荇菜	參差荇菜				
18	1	關睢	5	1	左右a[mô]芼之。	左右芼之	右	a	mô	
19	1	關睢	5	0	窈宨淑女	窈宨淑女				
20	1	關睢	5	1	 鍾鼓a[lòk]樂之。（宵覺通韻）	鍾鼓樂之	鼓	a	lòk	宵覺通韻
21	2	葛覃	1	0	葛之覃兮	葛之覃兮				
22	2	葛覃	1	1	施于中A[kok]谷。（a= 屋部）	施于中谷	中	A	kok	a=屋部
23	2	葛覃	1	0	維葉萋b[tsyei]萋	維葉萋萋	萋	b	tsyei	
24	2	葛覃	1	1	黃鳥于b[piuəi]飛。	黃鳥于飛	于	b	piuəi	
25	2	葛覃	1	0	集于灌a[mok]木	集于灌木	灌	a	mok	
26	2	葛覃	1	1	其鳴喈b[kei]喈。（b= 脂微合韵）	其鳴喈喈	喈	b	kei	b=脂微合韵
27	2	葛覃	2	0	葛之覃兮	葛之覃兮				
28	2	葛覃	2	1	施于中A[kok]谷。（与上章遥韵）	施于中谷	中	A	kok	与上章遥韵
29	2	葛覃	2	0	維葉莫b[mak]莫	維葉莫莫	莫	b	mak	
30	2	葛覃	2	1	是刈是b[huak]濩。	是刈是濩	是	b	huak	
31	2	葛覃	2	0	為絺為b[khyak]綌	為絺為綌	為	b	khyak	
32	2	葛覃	2	1	服之無b[jyak]斁。（铎部）	服之無斁	無	b	jyak	铎部
33	2	葛覃	3	0	言告師氏	言告師氏				
34	2	葛覃	3	1	言告言a[kiuəi]歸。	言告言歸	言	a	kiuəi	
35	2	葛覃	3	0	薄污我私	薄污我私				
36	2	葛覃	3	1	薄澣我a[iəi]衣。（微部）	薄澣我衣	我	a	iəi	微部
37	2	葛覃	3	0	害澣害b[piuə]否	害澣害否	害	b	piuə	
38	2	葛覃	3	1	歸寧父b[mə]母 。（之部）	歸寧父母	父	b	mə	之部
39	3	卷耳	1	0	采采卷耳	采采卷耳				
40	3	卷耳	1	1	不盈頃a[khiuang]筐。	不盈頃筐	頃	a	khiuang	
41	3	卷耳	1	0	嗟我懷人	嗟我懷人				
42	3	卷耳	1	1	寘彼周a[heang]行。（阳部）	寘彼周行	周	a	heang	阳部
43	3	卷耳	2	0	陟彼崔a[nguəi]嵬	陟彼崔嵬	崔	a	nguəi	
44	3	卷耳	2	1	我馬a虺a[duəi]隤。	我馬虺隤	馬	a	???	
45	3	卷耳	2	1	我馬a虺a[duəi]隤。	我馬虺隤	虺	a	duəi	
46	3	卷耳	2	0	我姑酌彼金a[luəi]罍	我姑酌彼金罍	金	a	luəi	
47	3	卷耳	2	1	維以不永a[hoəi]懷。（微部）	維以不永懷	永	a	hoəi	微部
48	3	卷耳	3	0	陟彼高a[kang]岡	陟彼高岡	高	a	kang	
49	3	卷耳	3	1	我馬玄a[huang]黃。	我馬玄黃	玄	a	huang	
50	3	卷耳	3	0	我姑酌彼兕a[koang]觥	我姑酌彼兕觥	兕	a	koang	
51	3	卷耳	3	1	維以不永a[sjiang]傷。（阳部）	維以不永傷	永	a	sjiang	阳部
52	3	卷耳	4	0	陟彼a[tsia]砠矣	陟彼砠矣	彼	a	tsia	
53	3	卷耳	4	1	我馬a[da]瘏矣	我馬瘏矣	馬	a	da	
54	3	卷耳	4	2						
55	3	卷耳	4	0	我僕[phiua]痡矣	我僕痡矣	???	僕	phiua	
56	3	卷耳	4	1	云何a[xiua]吁矣。（鱼部）	云何吁矣	何	a	xiua	鱼部
57	4	樛木	1	0	南有樛木	南有樛木				
58	4	樛木	1	1	葛藟a[liuəi]纍之。	葛藟纍之	藟	a	liuəi	
59	4	樛木	1	0	樂只君子	樂只君子				
60	4	樛木	1	1	福履a[siuəi]綏之。（微部）	福履綏之	履	a	siuəi	微部
61	4	樛木	2	0	南有樛木	南有樛木				
62	4	樛木	2	1	葛藟a[xuang]荒之。	葛藟荒之	藟	a	xuang	
63	4	樛木	2	0	樂只君子	樂只君子				
64	4	樛木	2	1	福履a[tziang]將之。（阳部）	福履將之	履	a	tziang	阳部
65	4	樛木	3	0	南有樛木	南有樛木				
66	4	樛木	3	1	葛藟a[lueng]縈之。	葛藟縈之	藟	a	lueng	
67	4	樛木	3	0	樂只君子	樂只君子				
68	4	樛木	3	1	福履a[zjieng]成之。（耕部）	福履成之	履	a	zjieng	耕部
69	5	螽斯	1	0	螽斯羽	螽斯羽				
70	5	螽斯	1	1	詵a[shən]詵兮。	詵詵兮	詵	a	shən	
71	5	螽斯	1	0	宜爾子孫	宜爾子孫				
72	5	螽斯	1	1	振a[tjiən]振兮。（文部）	振振兮	振	a	tjiən	文部
73	5	螽斯	2	0	螽斯羽	螽斯羽				
74	5	螽斯	2	1	薨a[xuəng]薨兮。	薨薨兮	薨	a	xuəng	
75	5	螽斯	2	0	宜爾子孫	宜爾子孫				
76	5	螽斯	2	1	繩a[djiəng]繩兮。（蒸部）	繩繩兮	繩	a	djiəng	蒸部
77	5	螽斯	3	0	螽斯羽	螽斯羽				
78	5	螽斯	3	1	揖a[tziəp]揖兮。	揖揖兮	揖	a	tziəp	
79	5	螽斯	3	0	宜爾子孫	宜爾子孫				
80	5	螽斯	3	1	蟄a[diəp]蟄兮。（缉部）	蟄蟄兮	蟄	a	diəp	缉部
81	6	桃夭	1	0	桃之夭夭	桃之夭夭				
82	6	桃夭	1	1	灼灼其a[hoa]華。	灼灼其華	其	a	hoa	
83	6	桃夭	1	0	之子于歸	之子于歸				
